Name;Gauss-Krueger E;Gauss-Krueger N
Büchen, Am Waldschwimmbad;3606860;5929713
Büchen, Bahnhofsstraße;3607896;5928367
Büchen, Büchener Straße;3607358;5929228
Büchen, Kirche;3608853;5928908
Büchen, Möllner Straße;3607467;5928888
Büchen, Pötrauer Straße;3606275;5928330
Büchen, Schmiedestraße;3608862;5929059
Büchen, Schulzentrum;3607269;5928764
Büchen, Sportplatz;3607257;5929738
Büchen, Steinkrug;3605167;5930307
Buchenkamp;3578414;5947500
Buchenstieg;3578478;5946979
Buchholz, Am Hang;3558440;5912174
Buchholz, Am Interessentenforst;3558709;5908472
Buchholz, Am Kattenberge;3556293;5910854
Buchholz, Am Steinbecker Feld;3556639;5910655
Buchholz, Am Stubben;3559149;5911840
Buchholz, Am Thing;3558792;5910316
Buchholz, Amselweg;3557335;5910209
Buchholz, Aschenputtelweg;3559194;5912169
Buchholz, Bäckerstraße;3557761;5914022
Buchholz, Bad/NordHeideHalle;3559781;5911713
Buchholz, Bahnhofstraße;3558776;5910702
Buchholz, Bauhof;3558550;5910075
Buchholz bei Ratzeburg, Abzweigung;3614677;5957210
Buchholz bei Ratzeburg, Dorfstraße;3615169;5957096
Buchholz, Beim Eichhofe;3558071;5914452
Buchholz, Bendestorfer Straße;3558951;5911391
Buchholz, Berliner Straße;3558960;5911799
Buchholz, Boßdorfstraße;3558495;5912567
Buchholz, Brandenburger Straße;3558384;5911386
Buchholz, Brumhagen;3555228;5909972
Buchholz, Buchholzer Straße;3555386;5909999
Buchholz, Dibberser Mühlenweg;3558441;5911932
Buchholz, Distelweg;3557954;5908605
Buchholz, Drosselweg;3557185;5909845
Buchholz, Eibenweg;3556561;5910293
Buchholz, Feldkamp;3558645;5909528
Buchholz, Flurweg;3558091;5910797
Buchholz, Freudenthalstraße;3558704;5912316
Buchholz, Friedrichstraße;3558755;5911870
Buchholz, Gerade Straße;3557754;5910740
Buchholz, Gewerbegebiet Süd;3557176;5912915
Buchholz, Gorch-Fock-Straße;3558742;5912580
Buchholz, Habichtweg;3557786;5908858
Buchholz, Haidbarg;3557405;5911349
Buchholz, Hanomagstraße;3554208;5910525
Buchholz, Hasenkamp;3558663;5909230
Buchholz, Heidekamp;3558758;5910036
Buchholz, Heideschule am SZ I;3559229;5912197
Buchholz, Heimgartenstraße;3556795;5911826
Buchholz, Heinsahl;3557867;5912956
Buchholz, Hochkamp;3557403;5911862
Buchholz, Hoheluftweg;3556625;5911409
Buchholz, Hopfenberg;3558137;5911867
Buchholz, Im Innovationspark (Süd);3557796;5914145
Buchholz, Innungsstraße;3557949;5913580
Buchholz, Kiefernweg;3556371;5910756
Buchholz, Klaus-Groth-Straße;3558600;5912567
Buchholz, Klecker Weg;3560682;5911596
Buchholz, Kohlhof;3557318;5912669
Buchholz, Krankenhaus;3558286;5911668
Buchholz, Lanzstraße;3554560;5910675
Buchholz, Lehmkuhlskamp;3557637;5912781
Buchholz, Lerchenweg;3557591;5909770
Buchholz, Lüneburger Straße;3559032;5910537
Buchholz, Lüneburger Straße 30;3559499;5910234
Buchholz, Märchenstraße;3559245;5912532
Buchholz, Marthastraße;3559097;5911543
Buchholz, Maurerstraße;3557422;5913078
Buchholz, Meilsener Heide;3556105;5910871
Buchholz, Mittelstraße;3558545;5911855
Buchholz, Möbel Kraft;3557348;5913575
Buchholz, Müllerstraße;3557936;5913859
Buchholz, Neue Straße;3558485;5910864
Buchholz (Nordheide);3558376;5910671
Buchholz, Nordring;3558077;5913298
Buchholz, Parkstraße;3558335;5911231
Buchholz, Passage;3558285;5910899
Buchholz, Pütjerweg;3556439;5911100
Buchholz, Reiherstieg 244;3557023;5909956
Buchholz, Reiherstieg 80;3557050;5910139
Buchholz, Schulzentrum I;3559437;5912158
Buchholz, Schulzentrum II;3556156;5910471
Buchholz, Seppenser Mühlenweg;3557419;5910066
Buchholz, Spechtstraße;3557511;5909982
Buchholz, Sprötzer Weg;3556929;5910495
Buchholz, Steinbecker Mühlenweg;3557216;5910596
Buchholz, Steinstraße;3558697;5911372
Buchholz, Stöversweg;3557398;5911664
Buchholz, Tannenweg;3556975;5910572
Buchholz, Taubenweg;3557756;5909120
Buchholz, Thomasdamm;3558684;5908897
Buchholz, Tischlerstraße;3557171;5913239
Buchholz, Treffpunkt;3558774;5911014
Buchholz, Vaenser Weg;3557908;5913142
Buchholz, Wacholderweg;3557712;5912134
Buchholz, Waldfriedhof;3557832;5911280
Buchholz, Waldschule;3558022;5911232
Buchholz, Waldschule (Schützenplatz);3558232;5911350
Buchholz, Wasserwerk;3558440;5912441
Buchholz, Wiesenschule;3558240;5910176
Buchholz, Wiesenstraße;3557906;5910177
Buchholz, Wilfried-Wroost-Weg;3557374;5912169
Buchholz, Zimmererstraße;3557054;5912644
Buchholz, Zunftstraße (Ost);3557739;5913366
Buchholz, Zunftstraße (West);3557663;5913296
Buchholzer Weg;3565439;5922676
Buchhorst,  Büchener Weg;3603534;5918321
Buchhorst, Brunsenberg;3604599;5917817
Buchhorst, Dorfstraße;3604417;5918155
Buchhorst, Feuerwehr;3604167;5918281
Büchsenschinken;3585566;5937392
Buchwaldstraße;3577045;5941505
Buckhorn;3576475;5948738
Buddenbrookweg;3573954;5944456
Bühnsdorf, Abzweigung Bahrenhof;3591306;5973695
Bühnsdorf, Abzweigung Neuengörs;3590891;5973862
Bühnsdorf, Feuerwehr;3590346;5973764
Bühnsdorf, Neuengörser Straße;3590866;5973926
Bullendorf bei Echem, Am Buscheberg;3604814;5913964
Bullendorf bei Echem, Brücke;3604402;5913718
Bullenhausen, Butendieksweg;3571800;5924405
Bullenhausen, Lührsweg;3571575;5924564
Bullenhausen, Schöpfwerk;3570461;5925603
Bullenhausen, Schule;3571308;5924777
Bullenhausen, Südstrand;3571153;5925001
Bullenhausen, Yachthafen;3570748;5925391
Bullenholz, Esseler Tannen;3519899;5928923
Bullenhuser Damm (Ost);3569806;5935034
Bullenhuser Damm (West);3569201;5935081
Bullenkoppel;3572336;5940986
Bullenkuhlen, Achterstraße;3549442;5959758
Bullenkuhlen, Schulweg;3549643;5959987
Bullenkuhlen, Seether Weg (Mitte);3549125;5959190
Bundesstraße;3564601;5937971
Bundesstraße/Rentzelstraße;;
Bünte;3562720;5925263
Burbekstraße;3557970;5943105
Burg, Abzweigung Groß Sterneberg;3522484;5946362
Burg, Wendeplatz;3522340;5945780
Burg 14;3521869;5945360
Burgstall;3586151;5937605
Burgstraße;3569119;5936536
Burgwedel;3560140;5946627
Burgwedelkamp;3560638;5946100
Burgwedeltwiete;3560358;5946010
Burgweide;3567965;5928822
Burmesterstraße;3568737;5940059
Burweg, Blaue Straße;3517657;5943545
Burweg, Dorfstraße;3518206;5943886
Burweg, Horst;3518902;5945085
Burweg, Hüslohstraße;3517987;5943611
Busbrookhöhe;3574859;5943990
Buschhörne 1;3522065;5953778
Buschhörne 2;3521995;5953933
Buschhörne 6;3521907;5954144
Buschrosenweg;3570411;5941664
Büsenbachtal;3557273;5904405
Bütlingen, Grüner Jäger;3594000;5916430
Bütlingen, Im Briggen;3594149;5915552
Bütlingen, Im Rehmen;3594273;5916228
Büttel, Alter Bahnhof Kudensee;3514911;5976867
Büttel, Gewerbegebiet;3514111;5975295
Büttel, Hauptstraße;3515457;5974223
Büttel, Kuhlen 23;3515537;5976671
Büttel, Müllereiweg;3514880;5974369
Büttel, Schmiedestraße;3515334;5974356
Bützfleth, Abbenfleth;3531703;5948934
Bützfleth, AOS;3532599;5947165
Bützfleth, Elsternstraße;3531949;5946716
Bützfleth, Friedhof;3531434;5947195
Bützfleth, Holunderweg;3530718;5947901
Bützfleth, In der Kolonie;3531816;5945981
Bützfleth, Karkenpatt;3531636;5946894
Bützfleth, Kirche;3531700;5947246
Bützfleth, Kreuel;3531702;5948079
Bützfleth, Pappelstieg;3531152;5947262
Bützflethermoor, Feuerwehr;3528476;5947054
Bützflethermoor, Süderstraße 133;3528605;5945586
Buurdiek;3594758;5970584
Buxtehude;3545761;5926767
Buxtehude, Abzweig Rübke;3547412;5927266
Buxtehude, Alte Trift;3544140;5925258
Buxtehude, Alter Postweg (Kehre);3547993;5925623
Buxtehude, Alter Postweg 35;3547817;5925769
Buxtehude, Am Eichholz;3545779;5926246
Buxtehude, Am Klöterbusch;3544861;5925598
Buxtehude, Am Steingrab;3543814;5925281
Buxtehude, An den Geestbergen;3547620;5925918
Buxtehude, An der Rehwiese;3543593;5925830
Buxtehude, Apensener Straße 105;3543685;5925396
Buxtehude, Apensener Straße 124;3544088;5925812
Buxtehude, Apensener Straße 198;3543027;5924717
Buxtehude, Bebelstraße;3545406;5925870
Buxtehude, Beim Soll;3544368;5925284
Buxtehude, Berliner Straße;3544386;5925646
Buxtehude, Berliner Straße (Schulzentrum);3544253;5925630
Buxtehude, Bertha-von-Suttner-Allee;3545559;5925747
Buxtehude, Böschenweg;3544192;5924638
Buxtehude, Brillenburgsweg;3546390;5926511
Buxtehude, Cityhaus;3546233;5927166
Buxtehude, Delmer Bogen;3544531;5925345
Buxtehude, Denkmal;3545523;5926582
Buxtehude, Eibenweg;3543626;5925452
Buxtehude, Eichenweg;3544870;5926667
Buxtehude, Eilendorfer Moor;3548532;5925392
Buxtehude, Ellerbruch;3546285;5926036
Buxtehude, Esteanger;3546733;5928031
Buxtehude, Estetalstraße;3545869;5925935
Buxtehude, Felix-Wankel-Straße;3547377;5926382
Buxtehude, Finkenstraße;3544911;5926253
Buxtehude, Friedhof;3545521;5926547
Buxtehude, Gartenstraße;3545733;5927391
Buxtehude, Giselbertstraße;3545743;5926815
Buxtehude, Hafenbrücke;3546669;5927609
Buxtehude, Halepaghenschule;3546157;5927419
Buxtehude, Hallenbad;3546162;5927427
Buxtehude, Hastedtstraße;3545536;5927169
Buxtehude, Hauptstraße;3545869;5926308
Buxtehude, Heideweg;3544107;5924253
Buxtehude, Heitmannsweg;3544721;5926187
Buxtehude, Hittenkofer Weg;3545214;5926615
Buxtehude, Hochschule 21;3546991;5927558
Buxtehude, Im Obstgarten;3547148;5926591
Buxtehude, Jugendhof Estetal;3544002;5923318
Buxtehude, K.-Adenauer-Allee (SZ-Nord);3546464;5926697
Buxtehude, Kellerkuhle;3543949;5926090
Buxtehude, Kirchweg;3544309;5924328
Buxtehude, Königsdamm;3545214;5926914
Buxtehude, Krankenhaus;3545096;5925817
Buxtehude, Leanderweg (Wendeplatz);3545972;5927577
Buxtehude, Lüneburger Schanze;3547183;5926161
Buxtehude, Lurup;3548318;5925346
Buxtehude, Marktkauf;3545950;5926852
Buxtehude, Milanstraße;3543837;5924637
Buxtehude, Neuland;3547236;5928801
Buxtehude, Ostmoor;3547934;5926480
Buxtehude, Ostmoorweg;3547804;5926137
Buxtehude, Parkstraße;3546201;5927133
Buxtehude, Poststraße;3546448;5927064
Buxtehude, Rudolf-Diesel-Straße;3546588;5925931
Buxtehude, Sagekuhle;3545939;5927869
Buxtehude, Schanzenstraße (Nord);3546738;5926323
Buxtehude, Schanzenstraße (Süd);3546134;5926042
Buxtehude, Schlangenweg;3544910;5926273
Buxtehude, Torfweg;3544583;5925295
Buxtehude, Torfweg (Schulzentrum Süd);3544419;5925452
Buxtehude, Viverstraße;3546764;5927494
Buxtehude, Vogelsang;3547458;5929412
Buxtehude, Westmoor;3545498;5928190
Buxtehude, Wettloopsweg;3544431;5926054
Buxtehude, ZOB;3546407;5927170
Cadenberge;3503925;5959658
Carl-Bremer-Ring;3571863;5941839
Carl-Cohn-Straße;3566622;5942243
Carl-Petersen-Straße;3568902;5936921
Carlsbrack;3579659;5919763
Caspar-Voght-Straße;3570411;5937069
Celsiusweg;3561227;5937120
Charitas-Bischoff-Treppe;3553423;5936722
Christinenthal, Dorfstraße;3534918;5991478
Christinenthal, Waldweg;3534930;5991155
Christuskirche;3563826;5938005
Claudiusstraße;3571047;5937568
Claus-Ferck-Straße;3577238;5947346
Collinghof;3624606;5940844
Container Terminal Burchardkai;3561727;5933195
Container Terminal EUROGATE;3561356;5932788
Cornehlsweg;3577966;5946836
Cranz;3551761;5933968
Cranz (Fähre);3551745;5934046
Cranzer Elbdeich;3551427;5934598
Culinstraße;3571199;5936146
Curslack (Feuerwehr);3581258;5924963
Curslacker Brückendamm;3579727;5926372
Curslacker Deich 200;3581101;5925259
Curslacker Deich 336;3580300;5926476
Curslacker Heerweg 118;3582063;5925992
Curslacker Heerweg 258;3582347;5927602
Curt-Bär-Weg;3576990;5928672
Cuxhaven;3480561;5970027
Cuxhavener Straße (West);3553806;5926495
Dachtmissen, Waldweg;3587982;5903123
Daensen, Zum Baaksberg;3546251;5921312
Daerstorf, Holzweg;3553593;5923178
Daerstorf, Zum Wiebusch;3553603;5923264
Dägeling, Dorfstraße;3534786;5972082
Dägeling, Heideweg;3534355;5973201
Dägeling, Wellenberg;3534943;5971627
Dahlem, Steinweg;3616840;5898219
Dahlenburg;3614348;5894387
Dahlenburg, Abzweig Sommerbeck;3612000;5896642
Dahlenburg, Abzweigung Dumstorf;3613659;5896590
Dahlenburg, Buendorf;3617207;5896120
Dahlenburg, Ehrenfriedhof;3615745;5896595
Dahlenburg, Fliederweg;3615856;5896106
Dahlenburg, Grundschule;3616488;5896509
Dahlenburg, Markt;3616521;5896406
Dahlenburg, Mittelfeld;3615301;5896868
Dahlenburg, Quickborn;3617255;5896356
Dahlenburg, Schulzentrum;3616884;5896067
Dahlgrünring;3567692;5928464
Dahmker, Steinkamp;3596267;5941083
Dahmker, Wiesenredder;3595723;5940625
Dahmsdorf;3602379;5971194
Dahrendorfweg;3573395;5936728
Daimlerstraße;3561138;5936459
Dakarweg;3567943;5941755
Daldorf, Dorfstraße;3581893;5987918
Daldorf, Pettluiser Weg;3583410;5986078
Daldorf, Ricklinger Straße;3581249;5988061
Dallbregen;3559374;5943432
Dalldorf, Dorfstraße;3606820;5924351
Dalldorf, Hauptstraße;3607153;5924064
Dalldorf, Sportplatz;3606997;5923713
Dammfleth, Auf dem Breuel;3523935;5974087
Dammfleth, Dammfleth 14;3524545;5975389
Dammfleth, Feuerwehr;3524647;5973668
Dammfleth, Hochfeld 23;3525051;5973412
Dammfleth, Klein Kampen;3525290;5973182
Dammfleth, Neufeld (Mitte);3522944;5973951
Dammfleth, Neufeld (Nord);3522193;5974840
Dammfleth, Neumühlen 11;3524901;5972044
Dammfleth, Poßfeld;3521485;5974296
Dammfleth, Rehweg 2;3522850;5975343
Dammfleth, Rotenmeer 1;3523120;5973148
Dammfleth, Rotenmeer 13;3523357;5972525
Dammhausen, Dammhauser Straße 130;3544778;5928579
Dammhausen, Dammhauser Straße 16;3543623;5929056
Dammhausen, Dammhauser Straße 56;3544039;5928905
Dammhausen, Dammhauser Straße 99;3544412;5928738
Dammhausen, Poggenpohl;3543429;5929293
Dammhausen, Volkmannsweg;3545139;5928434
Dammtor (Messe/CCH);3565654;5937066
Dampfschiffsweg;3565346;5927048
Damsdorf, Dorfstraße;3586320;5993449
Damsdorf, Kreuzung;3586345;5992583
Dannenberg Ost;3641874;5887964
Dannerallee;3573536;5936970
Darbovenstieg;3554686;5938159
Darchau;3626628;5902561
Darchau (Fähre);3626546;5902204
Darchau (Schiffsanleger);3626496;5902131
Dargow, Heidegrund;3623949;5947374
Dargow, Schaalseeweg;3624544;5947217
Darzau, Gut;3625396;5898752
Dassendorf, Ahornweg;3589700;5930132
Dassendorf, Am Brink;3591313;5929692
Dassendorf, Am Friedhof;3590476;5929991
Dassendorf, Am Riesenbett;3590677;5931457
Dassendorf, Amt Hohe Elbgeest;3590541;5929486
Dassendorf, Berodtskamp;3590198;5931087
Dassendorf, Bornweg;3590560;5930019
Dassendorf, Hasenwinkel;3590718;5930830
Dassendorf, Heidkoppelweg;3589663;5929548
Dassendorf, Katenkoppel;3591162;5929357
Dassendorf, Quellenweg;3589781;5930732
Dassendorf, Schule;3590092;5929980
Dassendorf, Sperberweg;3590545;5929607
Dassendorf, Steinberg;3591211;5929433
Dassendorf, Waldsiedlung;3590678;5931140
Daudieck;3536572;5930456
Daudieck, Gut Daudiek;3536921;5929706
Dauenhof;3544918;5969387
Davidstraße;3563810;5935758
Deelwisch;3562432;5941186
Deepenbrook (Möbel Höffner);3560177;5943679
Dehnhaide;3569013;5939139
Dehnsen, Kastanienweg;3578318;5888924
Deichtorhallen;3566891;5935446
Deinste, An der Bahn;3529284;5933316
Deinste, Deinster Mühle;3528926;5933261
Deinste, Erlenweg;3529463;5933313
Deinste, Feldstraße;3529834;5933501
Deinste, Kühlhaus;3529456;5933007
Deinste, Sportplatz;3529566;5932228
Delingsdorf, Dorfstraße;3582724;5953758
Delingsdorf, Lohe;3582521;5953032
Delingsdorf, Mittelweg;3582792;5953038
Delingsdorf, Timmerhorner Straße;3582430;5953871
Dellien;3628174;5910101
Dempwolffstraße;3564223;5925571
Denickestraße;3563612;5925688
Denksteinweg;3575005;5938335
Dernauer Straße;3572020;5939355
Dessauer Straße;3566895;5932916
Deutsch Evern, Am Tiergarten;3594853;5898192
Deutsch Evern, An der Ilmenau;3594961;5896664
Deutsch Evern, Bahnhof;3595928;5897307
Deutsch Evern, Birkenweg;3596513;5897880
Deutsch Evern, Finkenstieg;3594997;5897556
Deutsch Evern, Friedhof;3595235;5896574
Deutsch Evern, Fritz-Reuter-Straße;3595537;5896698
Deutsch Evern, Petersberg;3594744;5898009
Deutsch Evern, Schützenstraße;3596646;5897800
Deutsch Evern, Tiergartenstraße;3595580;5898084
Deutsch Evern, Triftstraße;3596170;5897705
Deutsch Evern, Von-Kleist-Weg;3595765;5897095
Deutsch Evern, Wandelfeld;3594972;5897110
Diagonalstraße;3570293;5935831
Dibbersen, Am Kriegerdenkmal;3558158;5915345
Dibbersen, Bürgermeister-Becker-Straße;3558013;5915226
Dibbersen, Freie Christliche Schule;3557563;5914114
Dibbersen, Harburger Straße;3558250;5915219
Diebsteich;3561976;5937846
Diekhof;3598737;5983644
Dierkshausen, Am Mühlenbach;3565570;5904439
Dierkshausen, Drumbergen;3563893;5904572
Dierkshausen, Feuerwehr;3565421;5904452
Dierkshausen, Haus Nazareth;3566078;5903964
Dierkshausen, Kalte Küche;3565131;5904748
Dierkshausen, Lichtheil;3566729;5903532
Dierkshausen, Schierhorner Straße;3564642;5904338
Diersbüttel, Ortsmitte;3584531;5886035
Diersbüttel, Siedlung;3585596;5886382
Diersbüttel 15;3584333;5886102
Dierstorf, Am Schäferstieg;3550420;5913266
Dierstorf, Am Schulberg;3550427;5913187
Dierstorf, Wennerstorfer Kirchweg 24a;3550136;5914745
Dierstorf, Wennerstorfer Kirchweg 66;3549553;5914863
Dimpfelweg;3569611;5936217
Distelacker;3556894;5926645
Distelkoppel;3569092;5945462
Dockland (Fischereihafen);3562107;5935029
dodenhof;3561877;5968616
Döhle, Hinter den Eichen;3569654;5892781
Döhle, Nordausgang;3570046;5892892
Döhle, Parkplatz;3569371;5892910
Dohren, Gehege;3547023;5910477
Dohren, Reddernweg;3546650;5908262
Dohren, Spritzenhaus;3547091;5908260
Dollern;3537067;5935022
Dollern, Altländer Straße;3536242;5934513
Dollern, Birkenweg (Mohr);3536900;5934631
Dollern, Osterberg (Schule);3536568;5934326
Dollern, Rüstjer Weg;3536111;5933957
Domizil Am Hirschpark;3554882;5936957
Domstraße;3565996;5935653
Doosthof, Abzweigung;3528498;5923149
Doosthof, Ortsmitte;3527912;5923336
Dorferbogen;3570941;5926806
Dornbusch, Alter Weg;3523213;5955624
Dornbusch, Dornbuscher Straße;3522719;5956225
Dornbusch, Schule;3522917;5955983
Dornbuschermoor, Abzweigung Dornbusch;3521416;5955053
Dornbuschermoor, Abzweigung Hüll;3521273;5955310
Dornbuschermoor, Dornbuschermoor 6a;3521615;5954750
Dornröschenweg;3560951;5946732
Dorotheenstraße;3566623;5940011
Dorotheental;3560563;5984599
Dörpsweg;3560400;5942573
Dortmunder Straße;3565781;5949610
Dradenau;3559765;5933002
Dradenauer Deichweg;3559816;5931456
Drage, Am Deich;3584025;5920870
Drage (IZ), Dorfstraße;3534124;5986092
Drage (IZ), Hansch;3534168;5987963
Drage, Krummer Weg;3583898;5920245
Drage, Ziegelei;3583621;5918998
Dragonerstall;3565153;5936466
Dratelnstraße;3566373;5930148
Dreggers;3588562;5973543
Dreihausen, Geyerhof;3545985;5901181
Dreihausen 12;3545096;5901370
Drennhausen, Drennhäuser Elbdeich;3584239;5921295
Drennhausen, Schule;3584647;5921462
Drestedt, Bahnhofstraße;3550480;5911086
Drestedt, Estesiedlung;3550205;5910824
Drestedt, Feuerwehr;3550461;5911474
Drestedt, Kurze Straße;3550512;5911758
Drestedt, Poststraße;3551223;5911050
Drestedt, Trelder Straße;3551273;5911076
Dreyerpfad;3566639;5947382
Drochtersen, An der Deichlücke;3525687;5953500
Drochtersen, Gauensieker Feldstraße;3526214;5952929
Drochtersen, Gauensiekersand;3526022;5955100
Drochtersen, Kirche;3525594;5953128
Drochtersen, Ritsch;3527205;5952135
Drochtersen, Schule (Kehre);3525275;5953306
Drochtersen, Schule (L111);3525347;5953375
Drochtersen, Schulsteig;3525157;5952981
Drochtersermoor 1;3523956;5949437
Drochtersermoor 16;3523518;5949739
Drögennindorf, Bahnhof;3587087;5891458
Drögennindorf, Celler Landstraße;3586730;5891819
Drögennindorf, Ortsmitte (B209);3586509;5891743
Drosselstieg;3570201;5949417
Drüsen;3613724;5942328
Düchelsdorf;3604797;5957394
Düdenbüttel, Gemeindezentrum;3523197;5939875
Düdenbüttel, Heinbockeler Straße;3523140;5940060
Düdenbüttel, Hinter den Höfen;3523704;5939748
Düdenbüttel, Im Klamm;3523666;5940142
Düdenbüttel, Neuer Kamp;3524294;5939769
Düdenbüttel, Röthkampstraße;3523736;5939708
Düdenbüttel, Teichstraße;3522911;5940002
Dumstorf, Am Kirchkamp;3613487;5895439
Düpenautal;3555382;5937797
Durchdeich (Süd);3574600;5923870
Durchdeich 141;3575526;5925082
Düsternbrook;3590535;5981532
Duvensee, Abzweigung Bergrade;3603634;5953038
Duvensee, In de Brüch;3603588;5952427
Duvenstedter Triftweg;3573828;5953324
Dwerkaten, Bahnhofstraße;3592698;5949365
Dwerkaten, Sprenger Weg;3592801;5949416
Dwerkaten, Zum Löps;3592014;5949155
Ebeersreye;3573873;5941012
Ebertallee;3558939;5937745
Ebstorf(Uelzen);3595161;5877034
Echem;3602512;5912847
Echem, Birkenweg;3603167;5912770
Echem, Dorfstraße;3602201;5912759
Echem, Schulstraße;3602859;5912885
Eckel, Bahnhofstraße;3560670;5915589
Eckel, Eckeler Berg;3561381;5915533
Eckel, Neu Eckeler Straße;3561047;5915568
Eckel, Vaenser Weg;3560603;5915347
Eckerkoppel;3574088;5941537
Eckernschmiede, Abzweigung Ratzbek;3602562;5968441
Eckernschmiede, Bahnbrücke;3601896;5968184
Eckerwiese;3573464;5941431
Eckhoffplatz (Lurup Center);3557916;5940298
Ecklak, Ackenboer Straße (Nord);3519003;5979198
Ecklak, Alte Schule;3517313;5980412
Ecklak, Am Schötenweg;3518296;5981264
Ecklak, Eschenweg;3518110;5978532
Ecklak, Hauptstraße 2;3516954;5978994
Ecklak, Hörner Weg;3517517;5978590
Ecklak, Seedorf;3516858;5979692
Eddelbüttelkamp;3564226;5923496
Eddelsen, Dahlgrund;3563994;5917500
Edmundsthal;3592399;5922204
Eekholt, Wildpark Eekholt;3567762;5980245
Eekholtesweg;3571906;5934993
EEZ (Julius-Brecht-Straße);3557140;5937960
Egenbüttel, Am Gedenkstein;3556078;5947122
Egenbüttel, Erlenweg;3558443;5945458
Egenbüttel, Hans-Reumann-Straße;3558085;5945644
Egenbüttel, Hermann-Löns-Weg;3559027;5945586
Egenbüttel, Kellerstraße;3557752;5946569
Egenbüttel, Moorweg;3557676;5945912
Egenbüttel, Schulweg;3556775;5946795
Egestorf, Abzweigung Döhle;3570912;5894053
Egestorf, Dorfpark;3570603;5896957
Egestorf, Ginsterweg;3571187;5894855
Egestorf, Im Bruch;3569976;5897231
Egestorf, Kirche;3571133;5896295
Egestorf, Ostende;3571546;5896355
Egestorf, Schule;3571023;5896592
Egestorf, Siedlung;3571085;5895512
Eggerskamp;3576614;5942771
Ehestorf, Baddels Hoff;3559997;5923877
Ehestorf, Ehestorfer Heideweg;3559650;5923865
Ehestorf, Emmetal;3560227;5924793
Ehestorf, Harburger Stadtweg;3560099;5923857
Ehestorf, Hohlredder;3559653;5925063
Ehestorf, Professor-Strache-Allee;3560005;5924219
Ehestorf, Rehwechsel;3559530;5925195
Ehestorf, Schierheisterberg;3559861;5925030
Ehestorf, Sniers Achterhoff;3559689;5923865
Ehestorfer Weg (Mitte);3562322;5925228
Ehlbeck, Apfelstraße;3577647;5884653
Ehlbeck, Finkenberg;3577213;5884471
Ehlersberg, Altersheim;3574675;5957747
Ehlersberg, Ehlersberger Weg;3574875;5958263
Ehlersberg, Rader Weg;3575081;5958545
Eichbaumsee;3573399;5929004
Eichberg;3577176;5943032
Eichdorf;3622717;5893828
Eichede, Kirche;3592986;5954942
Eichenallee;3571326;5944513
Eichenlohweg;3569204;5942346
Eichholz, Birnenallee;3589850;5918502
Eichholz, Gewerbepark;3589601;5917403
Eichholzfelder Deich;3572514;5928078
Eichtalstraße;3572212;5939052
Eichwischen;3577577;5943197
Eidelstedt;3560083;5940918
Eidelstedt Zentrum;3559737;5942493
Eidelstedter Brook;3560199;5943846
Eidelstedter Platz;3559946;5942247
Eidelstedter Weg;3563463;5939256
Eilbeker Weg;3569198;5937944
Eilendorf, Altklosterbergstraße;3547029;5925176
Eilendorf, Eilendorfer Weg;3546640;5924688
Eilendorf, Hohe Berge;3546865;5925463
Eilsdorf, Abzweigung;3598894;5982498
Eilsdorf, A'n Diek;3598637;5982342
Eilsdorf, Feuerwehr;3598272;5982088
Eimsbütteler Marktplatz;3562757;5938393
Eimstorf, Ort;3612661;5896130
Einhaus, Grüner Weg;3614181;5954947
Einhaus, Hauptstraße;3614568;5954855
Einhausring;3565861;5922942
Einkaufszentrum Steilshoop;3570145;5942632
Einlagedeich;3569486;5928066
Eißendorfer Mühlenweg;3563968;5924489
Eißendorfer Pferdeweg (Mitte);3563153;5926104
Eißendorfer Pferdeweg (Nord);3562868;5927019
Eißendorfer Straße (TU Hamburg);3564530;5925715
Eisenhansweg;3561041;5946397
Eissporthalle;3574187;5942000
EKZ Hummelsbüttel;3569381;5946201
Elbberg;3561809;5935271
Elbbrücken;3567940;5934234
Elbe-Einkaufszentrum;3557169;5938164
Elbe-Werkstätten Nord;3575040;5945896
Elbgaustraße;3559222;5941628
Elbhöhenweg;3552581;5937010
Elbphilharmonie;3565467;5934768
Elbschloßstraße (Seegerichtshof);3556594;5935634
Elbstorf, Elbstorfer Deich;3586126;5921847
Elbstorf, Schultenweg;3585492;5921770
Elbuferweg;3554463;5936183
Elisabeth-von-Thadden-Kehre;3577577;5928256
Elisenruh;3566611;5970196
Ellerau;3560874;5958049
Ellerau, Alvesloher Straße;3560379;5958704
Ellerau, Grundschule;3560758;5958908
Ellerau, Moortwiete;3561881;5959155
Ellerau, Steindamm;3560752;5958180
Ellerau, Vorderer Kamp;3561428;5959363
Ellerbek, Akazienweg;3559457;5945712
Ellerbek, Danziger Straße;3559532;5946253
Ellerbek, Denkmal;3557572;5947500
Ellerbek, Dorfstraße;3557366;5947827
Ellerbek, Dubenhorst;3557961;5947943
Ellerbek, Finkenstieg;3559358;5945291
Ellerbek, Heidkoppelweg;3559200;5946034
Ellerbek, Hermann-Löns-Schule;;
Ellerbek, Königsberger Straße;3559507;5946666
Ellerbek, Moordamm;3559272;5945578
Ellerhoop, Arboretum;3550626;5954182
Ellerhoop, Dorfstraße;3551029;5955749
Ellerhoop, Oha;3550277;5954821
Ellerhoop, Rugenranzel;3551557;5953348
Ellerhoop, Schule;3551282;5955633
