Name;Gauss-Krueger E;Gauss-Krueger N
Ahrensburg, Kurt-Fischer-Straße (Mitte);3583396;5951335
Ahrensburg, Kurt-Fischer-Straße (Nord);3583407;5951649
Ahrensburg, Kurt-Fischer-Straße (Süd);3583476;5950763
Ahrensburg, Lilienweg;3580925;5950489
Ahrensburg, Manhagener Allee;3582212;5949456
Ahrensburg, Meisenstieg;3581538;5946693
Ahrensburg, Meisenweg;3581867;5946781
Ahrensburg, Moltkeallee;3582370;5949239
Ahrensburg, Norderoogstieg;3582612;5951685
Ahrensburg, Nordstrandring;3582658;5951300
Ahrensburg, Olandstieg;3582266;5951465
Ahrensburg Ost;3582192;5948496
Ahrensburg, Otto-Schumann-Straße;3581024;5950787
Ahrensburg, Pellwormstieg;3582140;5951170
Ahrensburg, Pionierweg;3580791;5946702
Ahrensburg, Rathaus;3581774;5949793
Ahrensburg, Reesenbüttler Graben;3581206;5949909
Ahrensburg, Reesenbüttler Redder;3580168;5950259
Ahrensburg, Rondeel;3581972;5949847
Ahrensburg, Rosenhof;3582059;5950916
Ahrensburg, Rosenweg;3580845;5950952
Ahrensburg, Schimmelmannstraße;3580268;5949913
Ahrensburg, Schloß;3582141;5950458
Ahrensburg, Schule Am Hagen;3580606;5946376
Ahrensburg, Schulstraße;3581776;5950315
Ahrensburg, Schulzentrum Am Heimgarten;3580731;5950439
Ahrensburg, Selma-Lagerlöf-Schule;3580884;5949796
Ahrensburg, Spechtweg;3581181;5946766
Ahrensburg, Starweg;3581921;5948097
Ahrensburg, Steinkamp;3581255;5950896
Ahrensburg, Stormarner Werkstätten;3583446;5950996
Ahrensburg, Stormarner Werkstätten (Kehre);3583433;5950936
Ahrensburg, Stormarnstraße;3581174;5950157
Ahrensburg, Teichstraße;3582351;5946754
Ahrensburg, Theodor-Storm-Stieg;3580825;5949352
Ahrensburg, Vogteiweg;3581957;5951206
Ahrensburg, Waldemar-Bonsels-Weg;3580738;5949732
Ahrensburg, Weißdornweg;3579949;5949481
Ahrensburg, Weizenkoppel;3582905;5950577
Ahrensburg West;3580700;5948841
Ahrensburg, Wulfsdorfer Weg;3580382;5949556
Ahrensburger Platz;3577823;5947807
Ahrensfelde, B 208;3598642;5960280
Ahrensfelde, Schmiedeweg;3598929;5960272
Ahrensfelde, Webertwiete;3599113;5959828
Ahrensmoor-Nord, Schlangenweg;3533531;5919273
Ahrensmoor-Ost, Drosselgasse;3533622;5918308
Ahrensmoor-Ost, Schuldamm;3533562;5917719
Ahrensmoor-West, Ahlerstedter Weg;3532494;5918431
Ahrenswohlde, Kampshorn;3531778;5917266
Ahrenswohlde, Landstraße;3531061;5916393
Ahrenswohlde, Ort;3531019;5916416
AIRBUS;3556293;5934234
AIRBUS (Am Tower);3555820;5934729
AIRBUS (Fähranleger/Haus 25);3555826;5934953
AIRBUS (Kehre);3556247;5934290
AIRBUS (Osttor/Einfahrt);3556212;5934372
AIRBUS (Schiffsanleger);3555819;5935144
AIRBUS (Werkgelände);3556112;5934362
AK Altona (Eingang);3559600;5936327
AK Barmbek;3568907;5942029
AK Harburg;3563268;5925685
AK St. Georg;3567308;5936979
AK Wandsbek;3572373;5938027
Alaskaweg;3576189;5944727
Albertinen-Krankenhaus (A Schnelsen);3559937;5944903
Albert-Schweitzer-Ring;3574459;5939254
Albertstraße;3567663;5935775
Albsfelde, Möllerweg;3612445;5951685
Albsfelde, Wilhelm-Bohn-Straße;3612024;5951188
Alfred-Mahlau-Weg;3569863;5942566
Alfredstraße;3568527;5936735
Algermissenstraße;3567198;5929970
Allermöhe;3576961;5929392
Allermöher Deich 187;3575799;5927768
Allermöher Deich 355;3577263;5927399
Allermöher Deich 365;3577417;5927393
Allermöher Deich 75;3574724;5928515
Allermöher Kirche;3575041;5928435
Allermöher Werftstegel;3577916;5927319
Alsenplatz;3563132;5937647
Alsterblick;3574287;5952594
Alsterchaussee;3565919;5938382
Alsterdorf;3566986;5942117
Alsterdorfer Damm;3566211;5942914
Alsterdorfer Straße/Überseekolleg;3568013;5943365
Alsterkrugchaussee (Mitte);3566599;5943413
Alsterkrugchaussee 244;3565968;5942574
Alsterredder;3572499;5948098
Alstertal-Einkaufszentrum;3572337;5947669
Alt Erfrade;3583741;5989838
Alt Garge, Bahnhof;3619916;5905269
Alt Garge, Hauptstraße;3620309;5905191
Alt Garge, Turnhalle;3620088;5905235
Alt Garge, Waldbad;3620448;5904393
Alt Horst, Gut;3617158;5946673
Alt Horst, Siedlung;3616783;5946190
Alt Mölln, Am Brink;3609798;5944697
Alt Mölln, Am Brook;3609768;5944603
Alt Mölln, Am Horsberg;3609739;5945316
Alt Mölln, Am Lausebusch;3610606;5944649
Alte Holstenstraße;3580274;5929447
Alte Horster Schule;3585307;5925684
Alte Landstraße (Nord);3571300;5947417
Alte Schule Moorburg;3561642;5929656
Alte Schule Neuland;3568298;5927031
Alte Schule Reitbrook;3576361;5926885
Alte Schule Seefeld;3577434;5924227
Alte Twiete;3579944;5921510
Alte Wöhr (Stadtpark);3568621;5941193
Altendeich, Altendeicher Chaussee 47;3539358;5948853
Altendeich, Altendeicher Chaussee 56;3538576;5948024
Altendeich, Audeich;3538930;5948469
Altendeich, Feuerwehr;3537581;5947319
Altendeich, Sperrwerkstraße;3537757;5947735
Altendorfer Moor, 3. Kanal;3518809;5957139
Altengamme (Feuerwehr);3584776;5922829
Altengamme (Süd);3585543;5922540
Altengammer Elbwiesen;3585111;5922433
Altengammer Löschplatz;3585864;5922670
Altengammer Marschbahndamm;3586566;5924113
Altengörs;3589137;5975117
Altengörs, Bahnhofstraße;3589252;5975027
Altengörs, Dorfplatz;3589664;5974965
Altengörs, Neuengörser Straße;3589756;5975046
Altenmoor, Bullendorf 11;3540957;5959762
Altenmoor, Bullendorf 25;3540444;5959524
Altenmoor, Feuerwehrhaus;3540142;5959515
Altenwerder Hauptstraße (Mitte);3561216;5930260
